2021-02-10 01:18:07,862 | INFO | ulauncher: main() | Ulauncher version 5.10.0
2021-02-10 01:18:07,904 | DEBUG | ulauncher.utils.semver: parse_range() | hyphen replace ^2.0.0
2021-02-10 01:18:07,904 | DEBUG | ulauncher.utils.semver: parse_range() | comparator trim ^2.0.0, re.compile('(\\s*)((?:<|>)?=?)\\s*([v=\\s]*([0-9]+)\\.([0-9]+)\\.([0-9]+)(?:-?((?:[0-9]+|\\d*[a-zA-Z-][a-zA-Z0-9-]*)(?:\\.(?:[0-9]+|\\d*[a-zA-Z-][a-zA-Z0-9-]*))*))?(?:\\+([0-9A-Za-z-]+(?:\\.[0-9A-Za-z-]+)*))?|[v, re.MULTILINE)
2021-02-10 01:18:07,905 | DEBUG | ulauncher.utils.semver: parse_comparator() | comp ^2.0.0
2021-02-10 01:18:07,905 | DEBUG | ulauncher.utils.semver: repl() | caret ^2.0.0 ^2.0.0 2 0 0 None
2021-02-10 01:18:07,905 | DEBUG | ulauncher.utils.semver: repl() | caret return >=2.0.0 <3.0.0
2021-02-10 01:18:07,905 | DEBUG | ulauncher.utils.semver: parse_comparator() | caret >=2.0.0 <3.0.0
2021-02-10 01:18:07,905 | DEBUG | ulauncher.utils.semver: parse_comparator() | tildes >=2.0.0 <3.0.0
2021-02-10 01:18:07,905 | DEBUG | ulauncher.utils.semver: replace_xranges() | replaceXRanges >=2.0.0 <3.0.0 False
2021-02-10 01:18:07,905 | DEBUG | ulauncher.utils.semver: repl() | xrange >=2.0.0 >=2.0.0 >= 2 0 0 None
2021-02-10 01:18:07,905 | DEBUG | ulauncher.utils.semver: repl() | xrange gtlt=>= any_x=False
2021-02-10 01:18:07,905 | DEBUG | ulauncher.utils.semver: repl() | xRange return >=2.0.0
2021-02-10 01:18:07,905 | DEBUG | ulauncher.utils.semver: repl() | xrange <3.0.0 <3.0.0 < 3 0 0 None
2021-02-10 01:18:07,905 | DEBUG | ulauncher.utils.semver: repl() | xrange gtlt=< any_x=False
2021-02-10 01:18:07,905 | DEBUG | ulauncher.utils.semver: repl() | xRange return <3.0.0
2021-02-10 01:18:07,905 | DEBUG | ulauncher.utils.semver: parse_comparator() | xrange >=2.0.0 <3.0.0
2021-02-10 01:18:07,905 | DEBUG | ulauncher.utils.semver: replace_stars() | replaceStars >=2.0.0 <3.0.0 False
2021-02-10 01:18:07,905 | DEBUG | ulauncher.utils.semver: parse_comparator() | stars >=2.0.0 <3.0.0
2021-02-10 01:18:07,905 | DEBUG | ulauncher.utils.semver: __init__() | comparator: >=2.0.0 False
2021-02-10 01:18:07,905 | DEBUG | ulauncher.utils.semver: parse() | parse comp=>=2.0.0
2021-02-10 01:18:07,905 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 2.0.0, False
2021-02-10 01:18:07,905 | DEBUG | ulauncher.utils.semver: __init__() | comparator: <3.0.0 False
2021-02-10 01:18:07,905 | DEBUG | ulauncher.utils.semver: parse() | parse comp=<3.0.0
2021-02-10 01:18:07,905 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 3.0.0, False
2021-02-10 01:18:07,905 | DEBUG | ulauncher.utils.semver: format() | Range format >=2.0.0 <3.0.0
2021-02-10 01:18:07,905 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 2.0.0, False
2021-02-10 01:18:07,905 | DEBUG | ulauncher.utils.semver: test() | Comparator, test 2.0.0, False
2021-02-10 01:18:07,905 | DEBUG | ulauncher.utils.semver: cmp() | cmp: >=
2021-02-10 01:18:07,905 | DEBUG | ulauncher.utils.semver: compare() | SemVer.compare 2.0.0 False 2.0.0
2021-02-10 01:18:07,905 | DEBUG | ulauncher.utils.semver: compare() | compare result 0
2021-02-10 01:18:07,905 | DEBUG | ulauncher.utils.semver: test() | Comparator, test 2.0.0, False
2021-02-10 01:18:07,905 | DEBUG | ulauncher.utils.semver: cmp() | cmp: <
2021-02-10 01:18:07,906 | DEBUG | ulauncher.utils.semver: compare() | SemVer.compare 2.0.0 False 3.0.0
2021-02-10 01:18:07,906 | DEBUG | ulauncher.utils.semver: compare() | compare result -1
2021-02-10 01:18:07,908 | DEBUG | ulauncher.utils.semver: parse_range() | range ^2.0.0 False
2021-02-10 01:18:07,908 | DEBUG | ulauncher.utils.semver: parse_range() | hyphen replace ^2.0.0
2021-02-10 01:18:07,908 | DEBUG | ulauncher.utils.semver: parse_range() | comparator trim ^2.0.0, re.compile('(\\s*)((?:<|>)?=?)\\s*([v=\\s]*([0-9]+)\\.([0-9]+)\\.([0-9]+)(?:-?((?:[0-9]+|\\d*[a-zA-Z-][a-zA-Z0-9-]*)(?:\\.(?:[0-9]+|\\d*[a-zA-Z-][a-zA-Z0-9-]*))*))?(?:\\+([0-9A-Za-z-]+(?:\\.[0-9A-Za-z-]+)*))?|[v, re.MULTILINE)
2021-02-10 01:18:07,908 | DEBUG | ulauncher.utils.semver: parse_comparator() | comp ^2.0.0
2021-02-10 01:18:07,908 | DEBUG | ulauncher.utils.semver: repl() | caret ^2.0.0 ^2.0.0 2 0 0 None
2021-02-10 01:18:07,908 | DEBUG | ulauncher.utils.semver: repl() | caret return >=2.0.0 <3.0.0
2021-02-10 01:18:07,908 | DEBUG | ulauncher.utils.semver: parse_comparator() | caret >=2.0.0 <3.0.0
2021-02-10 01:18:07,908 | DEBUG | ulauncher.utils.semver: parse_comparator() | tildes >=2.0.0 <3.0.0
2021-02-10 01:18:07,908 | DEBUG | ulauncher.utils.semver: replace_xranges() | replaceXRanges >=2.0.0 <3.0.0 False
2021-02-10 01:18:07,908 | DEBUG | ulauncher.utils.semver: repl() | xrange >=2.0.0 >=2.0.0 >= 2 0 0 None
2021-02-10 01:18:07,908 | DEBUG | ulauncher.utils.semver: repl() | xrange gtlt=>= any_x=False
2021-02-10 01:18:07,908 | DEBUG | ulauncher.utils.semver: repl() | xRange return >=2.0.0
2021-02-10 01:18:07,909 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.mikebarkmin.ulauncher-duckduckgo" started. PID 772
2021-02-10 01:18:07,909 | DEBUG | ulauncher.utils.semver: repl() | xrange <3.0.0 <3.0.0 < 3 0 0 None
2021-02-10 01:18:07,909 | DEBUG | ulauncher.utils.semver: repl() | xrange gtlt=< any_x=False
2021-02-10 01:18:07,909 | DEBUG | ulauncher.utils.semver: repl() | xRange return <3.0.0
2021-02-10 01:18:07,909 | DEBUG | ulauncher.utils.semver: parse_comparator() | xrange >=2.0.0 <3.0.0
2021-02-10 01:18:07,909 | DEBUG | ulauncher.utils.semver: replace_stars() | replaceStars >=2.0.0 <3.0.0 False
2021-02-10 01:18:07,909 | DEBUG | ulauncher.utils.semver: parse_comparator() | stars >=2.0.0 <3.0.0
2021-02-10 01:18:07,909 | DEBUG | ulauncher.utils.semver: __init__() | comparator: >=2.0.0 False
2021-02-10 01:18:07,909 | DEBUG | ulauncher.utils.semver: parse() | parse comp=>=2.0.0
2021-02-10 01:18:07,909 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 2.0.0, False
2021-02-10 01:18:07,909 | DEBUG | ulauncher.utils.semver: __init__() | comparator: <3.0.0 False
2021-02-10 01:18:07,909 | DEBUG | ulauncher.utils.semver: parse() | parse comp=<3.0.0
2021-02-10 01:18:07,909 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 3.0.0, False
2021-02-10 01:18:07,909 | DEBUG | ulauncher.utils.semver: format() | Range format >=2.0.0 <3.0.0
2021-02-10 01:18:07,909 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 2.0.0, False
2021-02-10 01:18:07,909 | DEBUG | ulauncher.utils.semver: test() | Comparator, test 2.0.0, False
2021-02-10 01:18:07,909 | DEBUG | ulauncher.utils.semver: cmp() | cmp: >=
2021-02-10 01:18:07,909 | DEBUG | ulauncher.utils.semver: compare() | SemVer.compare 2.0.0 False 2.0.0
2021-02-10 01:18:07,909 | DEBUG | ulauncher.utils.semver: compare() | compare result 0
2021-02-10 01:18:07,909 | DEBUG | ulauncher.utils.semver: test() | Comparator, test 2.0.0, False
2021-02-10 01:18:07,909 | DEBUG | ulauncher.utils.semver: cmp() | cmp: <
2021-02-10 01:18:07,909 | DEBUG | ulauncher.utils.semver: compare() | SemVer.compare 2.0.0 False 3.0.0
2021-02-10 01:18:07,910 | DEBUG | ulauncher.utils.semver: compare() | compare result -1
2021-02-10 01:18:07,911 | DEBUG | ulauncher.utils.semver: parse_range() | range ^2.0.0 False
2021-02-10 01:18:07,912 | DEBUG | ulauncher.utils.semver: parse_range() | hyphen replace ^2.0.0
2021-02-10 01:18:07,912 | DEBUG | ulauncher.utils.semver: parse_range() | comparator trim ^2.0.0, re.compile('(\\s*)((?:<|>)?=?)\\s*([v=\\s]*([0-9]+)\\.([0-9]+)\\.([0-9]+)(?:-?((?:[0-9]+|\\d*[a-zA-Z-][a-zA-Z0-9-]*)(?:\\.(?:[0-9]+|\\d*[a-zA-Z-][a-zA-Z0-9-]*))*))?(?:\\+([0-9A-Za-z-]+(?:\\.[0-9A-Za-z-]+)*))?|[v, re.MULTILINE)
2021-02-10 01:18:07,912 | DEBUG | ulauncher.utils.semver: parse_comparator() | comp ^2.0.0
2021-02-10 01:18:07,912 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.yannishuber.pass-ulauncher" started. PID 774
2021-02-10 01:18:07,912 | DEBUG | ulauncher.utils.semver: repl() | caret ^2.0.0 ^2.0.0 2 0 0 None
2021-02-10 01:18:07,912 | DEBUG | ulauncher.utils.semver: repl() | caret return >=2.0.0 <3.0.0
2021-02-10 01:18:07,912 | DEBUG | ulauncher.utils.semver: parse_comparator() | caret >=2.0.0 <3.0.0
2021-02-10 01:18:07,912 | DEBUG | ulauncher.utils.semver: parse_comparator() | tildes >=2.0.0 <3.0.0
2021-02-10 01:18:07,912 | DEBUG | ulauncher.utils.semver: replace_xranges() | replaceXRanges >=2.0.0 <3.0.0 False
2021-02-10 01:18:07,912 | DEBUG | ulauncher.utils.semver: repl() | xrange >=2.0.0 >=2.0.0 >= 2 0 0 None
2021-02-10 01:18:07,912 | DEBUG | ulauncher.utils.semver: repl() | xrange gtlt=>= any_x=False
2021-02-10 01:18:07,912 | DEBUG | ulauncher.utils.semver: repl() | xRange return >=2.0.0
2021-02-10 01:18:07,912 | DEBUG | ulauncher.utils.semver: repl() | xrange <3.0.0 <3.0.0 < 3 0 0 None
2021-02-10 01:18:07,912 | DEBUG | ulauncher.utils.semver: repl() | xrange gtlt=< any_x=False
2021-02-10 01:18:07,912 | DEBUG | ulauncher.utils.semver: repl() | xRange return <3.0.0
2021-02-10 01:18:07,912 | DEBUG | ulauncher.utils.semver: parse_comparator() | xrange >=2.0.0 <3.0.0
2021-02-10 01:18:07,912 | DEBUG | ulauncher.utils.semver: replace_stars() | replaceStars >=2.0.0 <3.0.0 False
2021-02-10 01:18:07,912 | DEBUG | ulauncher.utils.semver: parse_comparator() | stars >=2.0.0 <3.0.0
2021-02-10 01:18:07,912 | DEBUG | ulauncher.utils.semver: __init__() | comparator: >=2.0.0 False
2021-02-10 01:18:07,912 | DEBUG | ulauncher.utils.semver: parse() | parse comp=>=2.0.0
2021-02-10 01:18:07,912 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 2.0.0, False
2021-02-10 01:18:07,912 | DEBUG | ulauncher.utils.semver: __init__() | comparator: <3.0.0 False
2021-02-10 01:18:07,912 | DEBUG | ulauncher.utils.semver: parse() | parse comp=<3.0.0
2021-02-10 01:18:07,913 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 3.0.0, False
2021-02-10 01:18:07,913 | DEBUG | ulauncher.utils.semver: format() | Range format >=2.0.0 <3.0.0
2021-02-10 01:18:07,913 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 2.0.0, False
2021-02-10 01:18:07,913 | DEBUG | ulauncher.utils.semver: test() | Comparator, test 2.0.0, False
2021-02-10 01:18:07,913 | DEBUG | ulauncher.utils.semver: cmp() | cmp: >=
2021-02-10 01:18:07,913 | DEBUG | ulauncher.utils.semver: compare() | SemVer.compare 2.0.0 False 2.0.0
2021-02-10 01:18:07,913 | DEBUG | ulauncher.utils.semver: compare() | compare result 0
2021-02-10 01:18:07,913 | DEBUG | ulauncher.utils.semver: test() | Comparator, test 2.0.0, False
2021-02-10 01:18:07,913 | DEBUG | ulauncher.utils.semver: cmp() | cmp: <
2021-02-10 01:18:07,913 | DEBUG | ulauncher.utils.semver: compare() | SemVer.compare 2.0.0 False 3.0.0
2021-02-10 01:18:07,913 | DEBUG | ulauncher.utils.semver: compare() | compare result -1
2021-02-10 01:18:07,915 | DEBUG | ulauncher.utils.semver: parse_range() | range ^2.0.0 False
2021-02-10 01:18:07,915 | DEBUG | ulauncher.utils.semver: parse_range() | hyphen replace ^2.0.0
2021-02-10 01:18:07,915 | DEBUG | ulauncher.utils.semver: parse_range() | comparator trim ^2.0.0, re.compile('(\\s*)((?:<|>)?=?)\\s*([v=\\s]*([0-9]+)\\.([0-9]+)\\.([0-9]+)(?:-?((?:[0-9]+|\\d*[a-zA-Z-][a-zA-Z0-9-]*)(?:\\.(?:[0-9]+|\\d*[a-zA-Z-][a-zA-Z0-9-]*))*))?(?:\\+([0-9A-Za-z-]+(?:\\.[0-9A-Za-z-]+)*))?|[v, re.MULTILINE)
2021-02-10 01:18:07,915 | DEBUG | ulauncher.utils.semver: parse_comparator() | comp ^2.0.0
2021-02-10 01:18:07,915 | DEBUG | ulauncher.utils.semver: repl() | caret ^2.0.0 ^2.0.0 2 0 0 None
2021-02-10 01:18:07,916 | DEBUG | ulauncher.utils.semver: repl() | caret return >=2.0.0 <3.0.0
2021-02-10 01:18:07,916 | DEBUG | ulauncher.utils.semver: parse_comparator() | caret >=2.0.0 <3.0.0
2021-02-10 01:18:07,916 | DEBUG | ulauncher.utils.semver: parse_comparator() | tildes >=2.0.0 <3.0.0
2021-02-10 01:18:07,916 | DEBUG | ulauncher.utils.semver: replace_xranges() | replaceXRanges >=2.0.0 <3.0.0 False
2021-02-10 01:18:07,916 | DEBUG | ulauncher.utils.semver: repl() | xrange >=2.0.0 >=2.0.0 >= 2 0 0 None
2021-02-10 01:18:07,916 | DEBUG | ulauncher.utils.semver: repl() | xrange gtlt=>= any_x=False
2021-02-10 01:18:07,916 | DEBUG | ulauncher.utils.semver: repl() | xRange return >=2.0.0
2021-02-10 01:18:07,916 | DEBUG | ulauncher.utils.semver: repl() | xrange <3.0.0 <3.0.0 < 3 0 0 None
2021-02-10 01:18:07,916 | DEBUG | ulauncher.utils.semver: repl() | xrange gtlt=< any_x=False
2021-02-10 01:18:07,916 | DEBUG | ulauncher.utils.semver: repl() | xRange return <3.0.0
2021-02-10 01:18:07,916 | DEBUG | ulauncher.utils.semver: parse_comparator() | xrange >=2.0.0 <3.0.0
2021-02-10 01:18:07,916 | DEBUG | ulauncher.utils.semver: replace_stars() | replaceStars >=2.0.0 <3.0.0 False
2021-02-10 01:18:07,916 | DEBUG | ulauncher.utils.semver: parse_comparator() | stars >=2.0.0 <3.0.0
2021-02-10 01:18:07,916 | DEBUG | ulauncher.utils.semver: __init__() | comparator: >=2.0.0 False
2021-02-10 01:18:07,916 | DEBUG | ulauncher.utils.semver: parse() | parse comp=>=2.0.0
2021-02-10 01:18:07,916 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 2.0.0, False
2021-02-10 01:18:07,916 | DEBUG | ulauncher.utils.semver: __init__() | comparator: <3.0.0 False
2021-02-10 01:18:07,916 | DEBUG | ulauncher.utils.semver: parse() | parse comp=<3.0.0
2021-02-10 01:18:07,916 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 3.0.0, False
2021-02-10 01:18:07,916 | DEBUG | ulauncher.utils.semver: format() | Range format >=2.0.0 <3.0.0
2021-02-10 01:18:07,916 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 2.0.0, False
2021-02-10 01:18:07,916 | DEBUG | ulauncher.utils.semver: test() | Comparator, test 2.0.0, False
2021-02-10 01:18:07,916 | DEBUG | ulauncher.utils.semver: cmp() | cmp: >=
2021-02-10 01:18:07,916 | DEBUG | ulauncher.utils.semver: compare() | SemVer.compare 2.0.0 False 2.0.0
2021-02-10 01:18:07,916 | DEBUG | ulauncher.utils.semver: compare() | compare result 0
2021-02-10 01:18:07,916 | DEBUG | ulauncher.utils.semver: test() | Comparator, test 2.0.0, False
2021-02-10 01:18:07,916 | DEBUG | ulauncher.utils.semver: cmp() | cmp: <
2021-02-10 01:18:07,916 | DEBUG | ulauncher.utils.semver: compare() | SemVer.compare 2.0.0 False 3.0.0
2021-02-10 01:18:07,916 | DEBUG | ulauncher.utils.semver: compare() | compare result -1
2021-02-10 01:18:07,916 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.briceio.ulauncher-baloo" started. PID 776
2021-02-10 01:18:07,922 | DEBUG | ulauncher.utils.semver: parse_range() | range 2 False
2021-02-10 01:18:07,922 | DEBUG | ulauncher.utils.semver: parse_range() | hyphen replace 2
2021-02-10 01:18:07,922 | DEBUG | ulauncher.utils.semver: parse_range() | comparator trim 2, re.compile('(\\s*)((?:<|>)?=?)\\s*([v=\\s]*([0-9]+)\\.([0-9]+)\\.([0-9]+)(?:-?((?:[0-9]+|\\d*[a-zA-Z-][a-zA-Z0-9-]*)(?:\\.(?:[0-9]+|\\d*[a-zA-Z-][a-zA-Z0-9-]*))*))?(?:\\+([0-9A-Za-z-]+(?:\\.[0-9A-Za-z-]+)*))?|[v, re.MULTILINE)
2021-02-10 01:18:07,922 | DEBUG | ulauncher.utils.semver: parse_comparator() | comp 2
2021-02-10 01:18:07,922 | DEBUG | ulauncher.utils.semver: parse_comparator() | caret 2
2021-02-10 01:18:07,922 | DEBUG | ulauncher.utils.semver: parse_comparator() | tildes 2
2021-02-10 01:18:07,922 | DEBUG | ulauncher.utils.semver: replace_xranges() | replaceXRanges 2 False
2021-02-10 01:18:07,922 | DEBUG | ulauncher.utils.semver: repl() | xrange 2 2  2 None None None
2021-02-10 01:18:07,922 | DEBUG | ulauncher.utils.semver: repl() | xrange gtlt= any_x=True
2021-02-10 01:18:07,922 | DEBUG | ulauncher.utils.semver: repl() | xRange return >=2.0.0 <3.0.0
2021-02-10 01:18:07,922 | DEBUG | ulauncher.utils.semver: parse_comparator() | xrange >=2.0.0 <3.0.0
2021-02-10 01:18:07,922 | DEBUG | ulauncher.utils.semver: replace_stars() | replaceStars >=2.0.0 <3.0.0 False
2021-02-10 01:18:07,923 | DEBUG | ulauncher.utils.semver: parse_comparator() | stars >=2.0.0 <3.0.0
2021-02-10 01:18:07,923 | DEBUG | ulauncher.utils.semver: __init__() | comparator: >=2.0.0 False
2021-02-10 01:18:07,923 | DEBUG | ulauncher.utils.semver: parse() | parse comp=>=2.0.0
2021-02-10 01:18:07,923 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 2.0.0, False
2021-02-10 01:18:07,923 | DEBUG | ulauncher.utils.semver: __init__() | comparator: <3.0.0 False
2021-02-10 01:18:07,923 | DEBUG | ulauncher.utils.semver: parse() | parse comp=<3.0.0
2021-02-10 01:18:07,923 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 3.0.0, False
2021-02-10 01:18:07,923 | DEBUG | ulauncher.utils.semver: format() | Range format >=2.0.0 <3.0.0
2021-02-10 01:18:07,923 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 2.0.0, False
2021-02-10 01:18:07,923 | DEBUG | ulauncher.utils.semver: test() | Comparator, test 2.0.0, False
2021-02-10 01:18:07,923 | DEBUG | ulauncher.utils.semver: cmp() | cmp: >=
2021-02-10 01:18:07,923 | DEBUG | ulauncher.utils.semver: compare() | SemVer.compare 2.0.0 False 2.0.0
2021-02-10 01:18:07,923 | DEBUG | ulauncher.utils.semver: compare() | compare result 0
2021-02-10 01:18:07,923 | DEBUG | ulauncher.utils.semver: test() | Comparator, test 2.0.0, False
2021-02-10 01:18:07,923 | DEBUG | ulauncher.utils.semver: cmp() | cmp: <
2021-02-10 01:18:07,923 | DEBUG | ulauncher.utils.semver: compare() | SemVer.compare 2.0.0 False 3.0.0
2021-02-10 01:18:07,923 | DEBUG | ulauncher.utils.semver: compare() | compare result -1
2021-02-10 01:18:07,932 | INFO | ulauncher.api.server.ExtensionRunner: _run_process() | Extension "com.github.isacikgoz.ukill" started. PID 778
2021-02-10 01:18:07,935 | DEBUG | ulauncher.utils.semver: parse_range() | range ^2.0.0 False
2021-02-10 01:18:07,935 | DEBUG | ulauncher.utils.semver: parse_range() | hyphen replace ^2.0.0
2021-02-10 01:18:07,935 | DEBUG | ulauncher.utils.semver: parse_range() | comparator trim ^2.0.0, re.compile('(\\s*)((?:<|>)?=?)\\s*([v=\\s]*([0-9]+)\\.([0-9]+)\\.([0-9]+)(?:-?((?:[0-9]+|\\d*[a-zA-Z-][a-zA-Z0-9-]*)(?:\\.(?:[0-9]+|\\d*[a-zA-Z-][a-zA-Z0-9-]*))*))?(?:\\+([0-9A-Za-z-]+(?:\\.[0-9A-Za-z-]+)*))?|[v, re.MULTILINE)
2021-02-10 01:18:07,935 | DEBUG | ulauncher.utils.semver: parse_comparator() | comp ^2.0.0
2021-02-10 01:18:07,935 | DEBUG | ulauncher.utils.semver: repl() | caret ^2.0.0 ^2.0.0 2 0 0 None
2021-02-10 01:18:07,936 | DEBUG | ulauncher.utils.semver: repl() | caret return >=2.0.0 <3.0.0
2021-02-10 01:18:07,936 | DEBUG | ulauncher.utils.semver: parse_comparator() | caret >=2.0.0 <3.0.0
2021-02-10 01:18:07,936 | DEBUG | ulauncher.utils.semver: parse_comparator() | tildes >=2.0.0 <3.0.0
2021-02-10 01:18:07,936 | DEBUG | ulauncher.utils.semver: replace_xranges() | replaceXRanges >=2.0.0 <3.0.0 False
2021-02-10 01:18:07,936 | DEBUG | ulauncher.utils.semver: repl() | xrange >=2.0.0 >=2.0.0 >= 2 0 0 None
2021-02-10 01:18:07,936 | DEBUG | ulauncher.utils.semver: repl() | xrange gtlt=>= any_x=False
2021-02-10 01:18:07,936 | DEBUG | ulauncher.utils.semver: repl() | xRange return >=2.0.0
2021-02-10 01:18:07,936 | DEBUG | ulauncher.utils.semver: repl() | xrange <3.0.0 <3.0.0 < 3 0 0 None
2021-02-10 01:18:07,936 | DEBUG | ulauncher.utils.semver: repl() | xrange gtlt=< any_x=False
2021-02-10 01:18:07,936 | DEBUG | ulauncher.utils.semver: repl() | xRange return <3.0.0
2021-02-10 01:18:07,936 | DEBUG | ulauncher.utils.semver: parse_comparator() | xrange >=2.0.0 <3.0.0
2021-02-10 01:18:07,936 | DEBUG | ulauncher.utils.semver: replace_stars() | replaceStars >=2.0.0 <3.0.0 False
2021-02-10 01:18:07,936 | DEBUG | ulauncher.utils.semver: parse_comparator() | stars >=2.0.0 <3.0.0
2021-02-10 01:18:07,936 | DEBUG | ulauncher.utils.semver: __init__() | comparator: >=2.0.0 False
2021-02-10 01:18:07,936 | DEBUG | ulauncher.utils.semver: parse() | parse comp=>=2.0.0
2021-02-10 01:18:07,936 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 2.0.0, False
2021-02-10 01:18:07,936 | DEBUG | ulauncher.utils.semver: __init__() | comparator: <3.0.0 False
2021-02-10 01:18:07,936 | DEBUG | ulauncher.utils.semver: parse() | parse comp=<3.0.0
2021-02-10 01:18:07,936 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 3.0.0, False
2021-02-10 01:18:07,936 | DEBUG | ulauncher.utils.semver: format() | Range format >=2.0.0 <3.0.0
2021-02-10 01:18:07,936 | DEBUG | ulauncher.utils.semver: __init__() | SemVer 2.0.0, False
2021-02-10 01:18:07,936 | DEBUG | ulauncher.utils.semver: test() | Comparator, test 2.0.0, False
2021-02-10 01:18:07,937 | DEBUG | ulauncher.utils.semver: cmp() | cmp: >=
2021-02-10 01:18:07,937 | DEBUG | ulauncher.utils.semver: compare() | SemVer.compare 2.0.0 False 2.0.0
2021-02-10 01:18:07,937 | DEBUG | ulauncher.utils.semver: compare() | compare result 0
2021-02-10 01:18:07,937 | DEBUG | ulauncher.utils.semver: test() | Comparator, test 2.0.0, False
2021-02-10 01:18:07,937 | DEBUG | ulauncher.utils.semver: cmp() | cmp: <
2021-02-10 01:18:07,937 | DEBUG | ulauncher.utils.semver: compare() | SemVer.compare 2.0.0 False 3.0.0
2021-02-10 01:18:07,937 | DEBUG | ulauncher.utils.semver: compare() | compare result -1
2021-02-10 01:18:07,945 | DEBUG | ulauncher.utils.semver: parse_range() | range ^2.0.0 False
2021-02-10 01:18:07,945 | DEBUG | ulauncher.utils.semver: parse_range() | hyphen replace ^2.0.0
2021-02-10 01:18:07,947 | DEBUG | ulauncher.utils.semver: parse_range() | comparator trim ^2.0.0, re.compile('(\\s*)((?:<|>)?=?)\\s*([v=\\s]*([0-9]+)\\.([0-9]+)\\.([0-9]+)(?:-?((?:[0-9]+|\\d*[a-zA-Z-][a-zA-Z0-9-]*)(?:\\.(?:[0-9]+|\\d*[a-zA-Z-][a-zA-Z0-9-]*))*))?(?:\\+([0-9A-Za-z-]+(?:\\.[0-9A-Za-z-]+)*))?|[v, re.MULTILINE)
